elctricity,gsdp,litracy,infant,telephone,expenditure,sex ratio,poverty
0.767,0.006856753891292,0.6964,0.37,0.8415,0.359079984,0.9976,15.1
1,0.012369645562105,0.6981,0.3,0.77,0.083297028,0.9276,31.5
0.7025,0.006822552315567,0.75766,0.47,0.5395,0.353224699,0.9628,31.5
0.9684,0.003440759482271,0.6772,0.42,0.512,0.898682877,0.914,52.2
0.955,0.008291852011073,0.72528,0.41,0.139,0.26212766,0.9914,36.3
0.9774,0.020542537313433,0.91376,0.09,0.9561,0.06128138,0.9712,5.6
1,0.016003714144455,0.81586,0.33,0.8267,0.925710908,0.9168,21.4
1,0.017930321915115,0.78606,0.36,1.1452,0.249165259,0.8834,11
1,0.01593706834113,0.85328,0.28,0.7693,0.125227401,0.9756,8.2
0.997,0.008653230644312,0.71816,0.26,0.139,0.321417877,0.8762,15.2
0.9822,0.0058696875,0.7155,0.32,0.9754,0.303000675,0.9494,45.8
0.9266,0.016206921220998,0.78878,0.28,0.9541,0.677919059,0.9696,17.1
0.9988,0.016525761093084,0.95256,0.12,0.6025,0.25597771,1.0944,1.1
1,0.006984656094523,0.71552,0.5,0.8075,0.707530395,0.9456,40.6
0.9719,0.016575010619859,0.84524,0.21,0.77,0.935925926,0.934,40.6
0.9991,0.006751901982199,0.7946,0.09,0.77,0.06156535,0.9262,31.5
0.8663,0.007783405099818,0.79178,0.42,0.77,0.05601683,0.9906,31.5
0.8014,0.012922267681715,0.92342,0.32,0.77,0.035312113,0.9904,31.5
0.9361,0.00987690394979,0.84804,0.12,0.77,0.046038501,0.9898,31.5
0.9079,0.007459731323614,0.76814,0.46,0.6685,0.446214961,0.9398,35.5
0.9187,0.013405051546392,0.78316,0.23,1.0379,0.209619779,0.9804,6.1
1,0.009274416198102,0.6839,0.43,0.7776,0.701443488,0.9006,31.6
0.9037,0.028444687275632,0.86464,0.18,0.77,0.051245356,0.9276,31.5
1,0.015449773193127,0.82746,0.19,1.1752,0.69511173,0.8946,7.4
1,0.015328965517241,0.628,0.34,0.8415,0.567044073,0.9986,16.9
0.9699,0.009303872158821,0.92832,0.2,0.77,0.115287065,0.9654,31.5
0.9867,0.005339198880948,0.72244,0.46,0.6051,1.990110042,0.912,40.4
0.9867,0.016453016345158,0.817,0.34,0.7431,0.199913318,0.9626,17.1
0.9932,0.008322693758073,0.79308,0.26,0.6069,0.642223348,0.9522,26
